issue,commit fix,commit blame,file,match
adhoc,b9d8c68e2f5f7f3a13773140a7ee4bf62972f17c,eb6fb6cda45d8bf83aa8347eccd36d2ef68b0694,src/java/org/apache/commons/math/analysis/UnivariateRealSolverUtils.java,1
adhoc,944446a1a8a3004ddd81298e0e922e4d47b99997,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,src/java/org/apache/commons/math/util/MathUtils.java,1
MATH-241,944446a1a8a3004ddd81298e0e922e4d47b99997,4eb8044ae73cacd278330b07795bdd649a82fc30,src/java/org/apache/commons/math/util/MathUtils.java,1
MATH-204,9232ea98fc333c8ede952406d3f70da8ae89682a,24d837eafd724642faed1b80856a353f73e993c5,src/java/org/apache/commons/math/analysis/BrentSolver.java,1
MATH-204,9232ea98fc333c8ede952406d3f70da8ae89682a,bb00559975c3b3e115b7ae618548aedc5b2572c6,src/java/org/apache/commons/math/analysis/BrentSolver.java,1
adhoc,60afd02a508bf721734eba66d1ddf412fb6d0970,93d4d37c5f441a4e5f081ebcf7c09f381c1cccd2,src/main/java/org/apache/commons/math4/ode/nonstiff/DormandPrince853FieldIntegrator.java,0
adhoc,60afd02a508bf721734eba66d1ddf412fb6d0970,6d1fb4dc3e9241d14efb0a04dbe0254441390abb,src/main/java/org/apache/commons/math4/ode/nonstiff/DormandPrince853FieldIntegrator.java,0
adhoc,99b46033f5ac900f7771305f6f0b0fe8c259e318,d53731afbedd09b270f87d33f345dda00a98d7f9,src/java/org/apache/commons/math/fraction/Fraction.java,0
MATH-252,99b46033f5ac900f7771305f6f0b0fe8c259e318,4e50bbcb90a44c3921dbe9cfea32fde4a83399a2,src/java/org/apache/commons/math/fraction/Fraction.java,1
MATH-1303,c9b1c8f9662f865a613632e1d390922050130b60,1786844fd7162f89f8ec31a3a0b1a7bdeacf983d,src/java/org/apache/commons/math/geometry/Rotation.java,1
MATH-1303,c9b1c8f9662f865a613632e1d390922050130b60,b1a4e8f2f962a51d075e341b3305553b1a2cf6bc,src/main/java/org/apache/commons/math3/geometry/euclidean/threed/RotationDS.java,0
MATH-1303,c9b1c8f9662f865a613632e1d390922050130b60,49d94ad78ccfcea4e4c6aada466b2077895310a5,src/main/java/org/apache/commons/math3/geometry/euclidean/threed/FieldRotation.java,0
MATH-1303,c9b1c8f9662f865a613632e1d390922050130b60,a7294ccd794d2d3f55b67b75b9798de151451fb8,src/main/java/org/apache/commons/math4/geometry/euclidean/threed/Rotation.java,1
adhoc,f1467e45ab538789090f968f549f88bd0b8c26c7,02d7cea111cfe0bebba42d1c030dadd1b82036db,src/main/java/org/apache/commons/math/distribution/HypergeometricDistribution.java,0
adhoc,63623c9236ec410b0f919a5392ba6f4544327de3,f64b6a906bc0c939e9c21671c97bc2d997457c1c,src/main/java/org/apache/commons/math3/special/Beta.java,0
MATH-297,9a324dc5463ea6329e0b2e59bb46073117d68168,9d442ceec87c17821f40fe825e72a0ef41abaa97,src/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,1
MATH-1300,1d635088f697178660b6e1c9a89d2b7d3bbe2d29,a7b4803ffe2a05fdafbe01b1791c43897e2e2531,src/main/java/org/apache/commons/math4/random/AbstractRandomGenerator.java,0
MATH-1300,1d635088f697178660b6e1c9a89d2b7d3bbe2d29,a7b4803ffe2a05fdafbe01b1791c43897e2e2531,src/main/java/org/apache/commons/math4/random/BitsStreamGenerator.java,0
adhoc,f1fa39e47a38dfda588ed2012c2b1dff6966b26a,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,src/java/org/apache/commons/math/linear/RealMatrixImpl.java,0
adhoc,f1fa39e47a38dfda588ed2012c2b1dff6966b26a,204063d31752fc234a0e58121b03743bff3c7543,src/java/org/apache/commons/math/linear/RealMatrixImpl.java,0
adhoc,f1fa39e47a38dfda588ed2012c2b1dff6966b26a,482ebca8f54c6d1c6ef3d07710d0717334bc0eee,src/java/org/apache/commons/math/linear/RealMatrixImpl.java,0
adhoc,f1fa39e47a38dfda588ed2012c2b1dff6966b26a,9e8e88d91649762dbcc94c803e637d8f7c57cf3c,src/java/org/apache/commons/math/MessagesResources_fr.java,0
adhoc,ef9b639afc3dd8d1c35eab23cc9cb6b3a6a2c858,d94d0a556a02af7a11bb93a73ecd3e614b9fcab0,src/java/org/apache/commons/math/util/MathUtils.java,1
adhoc,b98f50b1c93e159b1b701984a8fb2692d272404a,257ee19b38912ceea51b73c5223c1c79c30bb32e,src/java/org/apache/commons/math/stat/inference/ChiSquareTestImpl.java,0
adhoc,b98f50b1c93e159b1b701984a8fb2692d272404a,21314a8b5720ce0a039aa13947c3f1cea8331e3b,src/java/org/apache/commons/math/distribution/NormalDistributionImpl.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,45224a8ead4295f0941720322a744b5f5318506a,src/java/org/apache/commons/math/util/ResizableDoubleArray.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/tests-src/org/spaceroots/mantissa/ode/TestProblem1.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/tests-src/org/spaceroots/mantissa/ode/TestProblem2.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/tests-src/org/spaceroots/mantissa/ode/TestProblem3.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/tests-src/org/spaceroots/mantissa/ode/TestProblem4.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/tests-src/org/spaceroots/mantissa/ode/TestProblemAbstract.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,dd1a6bf954116fd4d17161fe25e7d1918bb08aad,src/java/org/apache/commons/math/util/ResizableDoubleArray.java,0
adhoc,63d0a79ce2a1a8f7857f3a0ce78f3698b66e1fc1,1021f180e55c5174402d74cec063c9d476c072d9,src/java/org/apache/commons/math/transform/FastFourierTransformer.java,0
